Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,232.12,-8.29,223.83,0.07473655389793386,28.0,0.024582967515364356,0.08188283324919338,0.25708083522844744,7.9939285714285715
Strawberry Sunshine - R,198.96,0.0,198.96,0.06643249235371898,24.0,0.021071115013169446,0.07278474066594966,0.22851629798084216,8.290000000000001
Tropical Tornado - R,99.48,0.0,99.48,0.03321624617685949,13.0,0.01141352063213345,0.03639237033297483,0.11425814899042108,7.6523076923076925
Hawaiian Sunset - R,66.32,0.0,66.32,0.022144164117906324,8.0,0.007023705004389816,0.024261580221983218,0.07617209932694738,8.29
Mango Hurricane - S,64.79,0.0,64.79,0.021633299053063194,12.0,0.010535557506584723,0.023701866444244466,0.07441481175200425,5.399166666666667
Strawberry Sunshine - S,53.01,0.0,53.01,0.01769997195250625,11.0,0.009657594381035996,0.019392436181654562,0.060884845978912555,4.819090909090909
Pirates Nectar - R,49.74,0.0,49.74,0.016608123088429745,6.0,0.0052677787532923615,0.018196185166487414,0.05712907449521054,8.290000000000001
Very Berry - R,49.74,0.0,49.74,0.016608123088429745,6.0,0.0052677787532923615,0.018196185166487414,0.05712907449521054,8.290000000000001
Very Berry - S,41.23,0.0,41.23,0.013766644851949304,7.0,0.006145741878841089,0.015083005919064658,0.047354880205820876,5.89
Tropical Tornado - S,17.67,0.0,17.67,0.005899990650835417,3.0,0.0026338893766461808,0.0064641453938848546,0.020294948659637522,5.890000000000001
Hawaiian Sunset - S,5.89,0.0,5.89,0.001966663550278472,1.0,0.000877963125548727,0.0021547151312949512,0.0067649828865458395,5.89
Ripped Berry - R,228.54,0.0,228.54,0.07630921694068625,26.0,0.0228270412642669,0.08360587370223228,0.339080118694362,8.79
Strawberry Storm - R,167.01,0.0,167.01,0.05576442776434764,19.0,0.016681299385425813,0.061096600013169744,0.2477893175074184,8.79
Banana's A Whey - R,140.64,-2.83,137.81,0.04601458469675318,16.0,0.014047410008779631,0.05041448085632551,0.2044658753709199,8.613125
Nuttin' Better - R,140.64,0.0,140.64,0.04695951811734538,16.0,0.014047410008779631,0.05144976843214294,0.20866468842729968,8.79
Canadian Colada - R,82.9,0.0,82.9,0.02768020514738291,10.0,0.00877963125548727,0.03032697527747903,0.29208653371855403,8.290000000000001
Funky Monkey - R,41.45,0.0,41.45,0.013840102573691455,5.0,0.004389815627743635,0.015163487638739514,0.14604326685927702,8.290000000000001
Berry Cream Sensation - R,24.87,0.0,24.87,0.008304061544214873,3.0,0.0026338893766461808,0.009098092583243707,0.08762596011556621,8.290000000000001
Oatrageous Mocha - R,24.87,0.0,24.87,0.008304061544214873,3.0,0.0026338893766461808,0.009098092583243707,0.08762596011556621,8.290000000000001
Funky Monkey - S,17.67,0.0,17.67,0.005899990650835417,3.0,0.0026338893766461808,0.0064641453938848546,0.06225776900852654,5.890000000000001
Pineapple Freeze - S,17.67,0.0,17.67,0.005899990650835417,3.0,0.0026338893766461808,0.0064641453938848546,0.06225776900852654,5.890000000000001
Mangosicle - R,16.58,0.0,16.58,0.005536041029476581,2.0,0.001755926251097454,0.0060653950554958045,0.058417306743710797,8.29
Pea (Not) Butter 2.0 - R,16.58,0.0,16.58,0.005536041029476581,2.0,0.001755926251097454,0.0060653950554958045,0.058417306743710797,8.29
Berry Cream Sensation - S,11.78,0.0,11.78,0.003933327100556944,2.0,0.001755926251097454,0.0043094302625899025,0.041505179339017685,5.89
Mangosicle - S ,10.58,0.0,10.58,0.0035326486183270348,2.0,0.001755926251097454,0.0038704390643634267,0.03727714748784441,5.29
Oatrageous Mocha - S,10.58,0.0,10.58,0.0035326486183270348,2.0,0.001755926251097454,0.0038704390643634267,0.03727714748784441,5.29
Pineapple Freeze - R,8.29,0.0,8.29,0.0027680205147382906,1.0,0.000877963125548727,0.0030326975277479022,0.029208653371855398,8.29
Canadian Colada - S,0.0,0.0,0.0,0.0,1.0,0.000877963125548727,0.0,0.0,0.0
Mind Over Matcha - R,92.9,0.0,92.9,0.031019192499298822,10.0,0.00877963125548727,0.033985235262699656,0.35714285714285715,9.290000000000001
Pomegranate Punch - R,92.9,0.0,92.9,0.031019192499298822,10.0,0.00877963125548727,0.033985235262699656,0.35714285714285715,9.290000000000001
Acai Avalanche - R,37.16,0.0,37.16,0.012407676999719527,4.0,0.003511852502194908,0.01359409410507986,0.14285714285714285,9.29
High Impact Acai - R,37.16,0.0,37.16,0.012407676999719527,5.0,0.004389815627743635,0.01359409410507986,0.14285714285714285,7.4319999999999995
Pomegranate Passion - R,107.88,0.0,107.88,0.036020995552468855,12.0,0.010535557506584723,0.03946530872056016,0.4444993819530284,8.99
Brazilian Thunder - R,44.95,0.0,44.95,0.015008748146862025,6.0,0.0052677787532923615,0.016443878633566736,0.18520807581376184,7.491666666666667
Matcha Monsoon - S,35.94,0.0,35.94,0.012000320542785787,6.0,0.0052677787532923615,0.013147786386882944,0.1480840543881335,5.989999999999999
Matcha Monsoon - R,17.98,0.0,17.98,0.00600349925874481,2.0,0.001755926251097454,0.006577551453426694,0.07408323032550473,8.99
Ocean Mist - R,17.98,0.0,17.98,0.00600349925874481,2.0,0.001755926251097454,0.006577551453426694,0.07408323032550473,8.99
Pomegranate Passion - S,11.98,0.0,11.98,0.004000106847595263,2.0,0.001755926251097454,0.004382595462294315,0.049361351462711166,5.99
Brazilian Thunder - S,5.99,0.0,5.99,0.0020000534237976314,1.0,0.000877963125548727,0.0021912977311471576,0.024680675731355583,5.99
Tropi-Kale - R,54.54,0.0,54.54,0.018210837017349383,6.0,0.0052677787532923615,0.019952149959393317,0.3523255813953488,9.09
Spinach is in it - R,45.45,0.0,45.45,0.01517569751445782,6.0,0.0052677787532923615,0.016626791632827764,0.2936046511627907,7.575
Spinach is in it - S,24.36,0.0,24.36,0.008133773189267161,4.0,0.003511852502194908,0.008911521323997456,0.1573643410852713,6.09
Tropi-Kale - S,24.36,0.0,24.36,0.008133773189267161,5.0,0.004389815627743635,0.008911521323997456,0.1573643410852713,4.872
Wildberry Rush - S,6.09,0.0,6.09,0.0020334432973167903,1.0,0.000877963125548727,0.002227880330999364,0.03934108527131783,6.09
$ Whey Protein,40.25,0.0,40.25,0.013439424091461545,23.0,0.02019315188762072,0.014724496440513038,0.6822033898305084,1.75
$ Chia Seeds,5.0,0.0,5.0,0.001669493675957956,5.0,0.004389815627743635,0.0018291299926103152,0.0847457627118644,1.0
$ Collagen,4.0,0.0,4.0,0.0013355949407663648,4.0,0.003511852502194908,0.001463303994088252,0.06779661016949153,1.0
$ Add WowButter,2.25,0.0,2.25,0.0007512721541810802,3.0,0.0026338893766461808,0.0008231084966746419,0.038135593220338986,0.75
$ Energy Booster,1.0,0.0,1.0,0.0003338987351915912,2.0,0.001755926251097454,0.000365825998522063,0.01694915254237288,0.5
$ Hemp Hearts,1.0,0.0,1.0,0.0003338987351915912,1.0,0.000877963125548727,0.000365825998522063,0.01694915254237288,1.0
$ Power Booster,1.0,0.0,1.0,0.0003338987351915912,2.0,0.001755926251097454,0.000365825998522063,0.01694915254237288,0.5
$ Warrior Booster,1.0,0.0,1.0,0.0003338987351915912,2.0,0.001755926251097454,0.000365825998522063,0.01694915254237288,0.5
$ Banana,0.75,0.0,0.75,0.0002504240513936934,1.0,0.000877963125548727,0.00027436949889154727,0.012711864406779662,0.75
$ Blueberry,0.75,0.0,0.75,0.0002504240513936934,1.0,0.000877963125548727,0.00027436949889154727,0.012711864406779662,0.75
$ Add Honey,0.5,0.0,0.5,0.0001669493675957956,1.0,0.000877963125548727,0.0001829129992610315,0.00847457627118644,0.5
$ Combo Booster,0.5,0.0,0.5,0.0001669493675957956,1.0,0.000877963125548727,0.0001829129992610315,0.00847457627118644,0.5
$ Density Booster,0.5,0.0,0.5,0.0001669493675957956,1.0,0.000877963125548727,0.0001829129992610315,0.00847457627118644,0.5
$ Wilderness Booster,0.5,0.0,0.5,0.0001669493675957956,1.0,0.000877963125548727,0.0001829129992610315,0.00847457627118644,0.5
Add Banana,0.0,0.0,0.0,0.0,1.0,0.000877963125548727,0.0,0.0,0.0
Add Chocolate Almond Milk,0.0,0.0,0.0,0.0,1.0,0.000877963125548727,0.0,0.0,0.0
Add Vanilla Almond Milk,0.0,0.0,0.0,0.0,1.0,0.000877963125548727,0.0,0.0,0.0
Combo Booster,0.0,0.0,0.0,0.0,12.0,0.010535557506584723,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,2.0,0.001755926251097454,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,27.0,0.02370500438981563,0.0,0.0,0.0
Power Booster,0.0,0.0,0.0,0.0,6.0,0.0052677787532923615,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,10.0,0.00877963125548727,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,2.0,0.001755926251097454,0.0,0.0,0.0
Lemon Berry - R,26.97,0.0,26.97,0.009005248888117214,3.0,0.0026338893766461808,0.00986632718014004,0.5000927127758205,8.99
Lemon Berry - S,17.97,0.0,17.97,0.0060001602713928934,3.0,0.0026338893766461808,0.006573893193441472,0.33320971629890594,5.989999999999999
Go Mango - R,8.99,0.0,8.99,0.003001749629372405,1.0,0.000877963125548727,0.003288775726713347,0.1666975709252735,8.99
Chipotle Chicken Wrap,43.95,0.0,43.95,0.014674849411670434,9.0,0.007901668129938543,0.35489341085271325,0.4348041155520381,4.883333333333334
Pesto Chicken Panini,26.37,0.0,26.37,0.00880490964700226,3.0,0.0026338893766461808,0.21293604651162792,0.26088246933122283,8.790000000000001
Artisan Grilled Cheese,13.18,0.0,13.18,0.0044007853298251715,2.0,0.001755926251097454,0.10642764857881137,0.13039176889592405,6.59
Chicken Quesadilla,8.79,0.0,8.79,0.0029349698823340864,4.0,0.003511852502194908,0.07097868217054264,0.0869608231104076,2.1975
Chipotle Chicken Panini,8.79,0.0,8.79,0.0029349698823340864,3.0,0.0026338893766461808,0.07097868217054264,0.0869608231104076,2.9299999999999997
Egg White & Cheese Wrap,22.76,0.0,22.76,0.007599535212960616,4.0,0.003511852502194908,0.1837855297157623,1.0,5.69
Booster Ball (3),33.75,-2.17,31.58,0.01054452205735045,5.0,0.004389815627743635,0.3561921949018723,0.38949185989146523,6.316
Booster Ball (2),30.0,0.0,30.0,0.010016962055747735,6.0,0.0052677787532923615,0.3383713061132416,0.370004933399112,5.0
Booster Ball (1),11.0,0.0,11.0,0.0036728860871075033,4.0,0.003511852502194908,0.12406947890818859,0.1356684755796744,2.75
Booster Ball (4),8.5,0.0,8.5,0.002838139249128525,1.0,0.000877963125548727,0.09587187006541846,0.10483473112974839,8.5
Lemon & Ginger Shot - D,4.29,0.0,4.29,0.0014324255739719262,1.0,0.000877963125548727,0.048387096774193554,0.5659630606860159,4.29
Lemon & Ginger Shot - S,3.29,0.0,3.29,0.001098526838780335,1.0,0.000877963125548727,0.0371080532370855,0.4340369393139842,3.29
Birthday Cake - Booster Ball,0.0,0.0,0.0,0.0,2.0,0.001755926251097454,0.0,0.0,0.0
Chocolate Chip - Booster Ball,0.0,0.0,0.0,0.0,10.0,0.00877963125548727,0.0,0.0,0.0
Monster - Booster Ball,0.0,0.0,0.0,0.0,6.0,0.0052677787532923615,0.0,0.0,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,0.0,0.0,17.0,0.014925373134328358,0.0,0.0,0.0
Mango Teazer - TB,34.93,0.0,34.93,0.01166308282024228,7.0,0.006145741878841089,1.0,1.0,4.99
Drink - Bottled Water - 500 ml,12.45,0.0,12.45,0.00415703925313531,5.0,0.004389815627743635,1.0,1.0,2.4899999999999998
$ Kale,0.75,0.0,0.75,0.0002504240513936934,1.0,0.000877963125548727,0.5,0.5,0.75
$ Spinach,0.75,0.0,0.75,0.0002504240513936934,1.0,0.000877963125548727,0.5,0.5,0.75
